qnt_produzida,uf,cod_ibge
258,BA,2902302
14029,BA,2917805
186,BA,2922201
290,BA,2922508
4,BA,2927309
73,BA,2928604
9,BA,2933208
216,BA,2918803
990,BA,2905404
3391,BA,2905800
3760,BA,2913457
5000,BA,2917300
103,BA,2920700
206,BA,2922607
9,BA,2925758
4487,BA,2931202
5950,BA,2932903
54,BA,2903409
8,BA,2908002
68,BA,2913606
20,BA,2914901
113,BA,2932507
9,BA,2932705
87,BA,2933505
91,BA,2925303
6756,PA,1501907
18000,PA,1502400
7200,PA,1506500
40600,PA,1507003
1600,PA,1502905
4800,PA,1504307
375,PA,1504406
1600,PA,1507466
5872,PA,1507961
3935,PA,1508209
181870,PA,1501600
80000,PA,1503200
4800,PA,1505007
11250,PA,1506609
4800,PA,1507409
20000,PA,1500107
850,PA,1501204
201236,PA,1500206
220450,PA,1502756
417900,PA,1504703
942084,PA,1507953
536700,PA,1508001
28500,PA,1500958
1533,PA,1502301
18157,PA,1503077
38205,PA,1503507
7950,PA,1504059
31500,PA,1507201
7500,PA,1507607
2262,RR,1400472
