nome,uf,lat,lon
Filial Paulínia,SP,-22.71849429941683,-47.14052652945554
Filial Socorro,SP,-23.68488228461613,-46.70623370244854
Filial São José dos Campos,SP,-23.18384538486613,-45.81160444663732
Filial Jardinópolis,SP,-21.037893214523734,-47.8314594105859
Filial Matriz,SP,-23.603287109697995,-46.69292422943641
Filial Duque de Caxias,RJ,-22.710500533076413,-43.27293512575714
Filial Uberlândia,MG,-18.86979477166289,-48.300954527076726
Filial Ubirité,MG,-19.987388564888985,-44.102044971839696
Filial Campo Grande,MS,-20.45394994840892,-54.696050802515565
Filial Cuabá,MT,-15.646443933951842,-56.01065950103637
